"filename", "language", "TypeScript", "Svelte", "PostCSS", "XML", "comment", "blank", "total"
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/+layout.svelte", "Svelte", 0, 62, 0, 0, 0, 4, 66
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/+layout.server.ts", "TypeScript", 15, 0, 0, 0, 0, 5, 20
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/create-custom/+page.server.ts", "TypeScript", 11, 0, 0, 0, 0, 4, 15
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/create-custom/+page.svelte", "Svelte", 0, 121, 0, 0, 1, 12, 134
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/myphotos/+page@by.svelte", "Svelte", 0, 92, 0, 0, 0, 3, 95
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/+page.server.ts", "TypeScript", 44, 0, 0, 0, 2, 12, 58
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/+page.svelte", "Svelte", 0, 202, 0, 0, -5, 14, 211
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/helpers.ts", "TypeScript", 69, 0, 0, 0, 10, 12, 91
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/+page.server.ts", "TypeScript", -3, 0, 0, 0, 0, 0, -3
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/+page.svelte", "Svelte", 0, 79, 0, 0, 0, 10, 89
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/create-custom/+page.svelte", "Svelte", 0, -4, 0, 0, 0, -2, -6
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/body-image-upload/+page.server.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/body-image-upload/+page.svelte", "Svelte", 0, 120, 0, 0, 8, 14, 142
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/clothing-image-upload/+page.server.ts", "TypeScript", 4, 0, 0, 0, 0, 3, 7
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/clothing-image-upload/+page.svelte", "Svelte", 0, 189, 0, 0, 33, 19, 241
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/+page.server.ts", "TypeScript", 274, 0, 0, 0, 7, 49, 330
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/+page.svelte", "Svelte", 0, 147, 0, 0, 4, 8, 159
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/utils.ts", "TypeScript", 78, 0, 0, 0, 1, 12, 91
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/wardrobe/+page.server.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/wardrobe/+page.svelte", "Svelte", 0, 20, 0, 0, 0, 2, 22
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/melt/+page.server.ts", "TypeScript", 99, 0, 0, 0, 19, 24, 142
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/melt/+page.svelte", "Svelte", 0, -14, 0, 0, -25, -2, -41
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/body-image-upload/+page.server.ts", "TypeScript", -12, 0, 0, 0, 0, -3, -15
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/body-image-upload/+page.svelte", "Svelte", 0, -130, 0, 0, -8, -13, -151
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/clothing-image-upload/+page.server.ts", "TypeScript", -4, 0, 0, 0, 0, -3, -7
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/clothing-image-upload/+page.svelte", "Svelte", 0, -175, 0, 0, -33, -18, -226
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/generation/+page.server.ts", "TypeScript", -267, 0, 0, 0, -6, -44, -317
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/generation/+page.svelte", "Svelte", 0, -147, 0, 0, -4, -8, -159
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/generation/utils.ts", "TypeScript", -78, 0, 0, 0, -1, -12, -91
"/Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/api/submitTask/+server.ts", "TypeScript", -2, 0, 0, 0, 0, -1, -3
"Total", "-", 629, 782, 1, -233, -61, 141, 1259
