Date : 2025-04-16 16:39:56
Directory : /Users/jayden/Desktop/FYP/virtual-try-on-app/src
Total : 136 files,  8863 codes, 311 comments, 994 blanks, all 10168 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/svg/small/profile                                                                                        |         11 |        138 |          0 |         11 |        149 |
| lib/svg/small/wardrobe                                                                                       |          6 |        180 |          0 |         12 |        192 |
| lib/type                                                                                                     |          1 |      1,084 |          0 |          9 |      1,093 |
| routes                                                                                                       |         48 |      4,177 |        191 |        516 |      4,884 |
| routes (Files)                                                                                               |          3 |         53 |          9 |         11 |         73 |
| routes/(app)                                                                                                 |         26 |      3,039 |        105 |        346 |      3,490 |
| routes/(app) (Files)                                                                                         |          2 |        123 |          0 |         14 |        137 |
| routes/(app)/by                                                                                              |          8 |        388 |         21 |         44 |        453 |
| routes/(app)/by (Files)                                                                                      |          2 |         34 |          0 |          9 |         43 |
| routes/(app)/by/create-custom                                                                                |          2 |        132 |          1 |         16 |        149 |
| routes/(app)/by/myphotos                                                                                     |          2 |        132 |          0 |          9 |        141 |
| routes/(app)/by/profile                                                                                      |          2 |         90 |         20 |         10 |        120 |
| routes/(app)/home                                                                                            |          3 |      1,200 |         27 |        119 |      1,346 |
| routes/(app)/outfits                                                                                         |          4 |        240 |          2 |         36 |        278 |
| routes/(app)/outfits (Files)                                                                                 |          2 |        184 |          2 |         30 |        216 |
| routes/(app)/outfits/create-ai                                                                               |          2 |         56 |          0 |          6 |         62 |
| routes/(app)/vto-test                                                                                        |          7 |        817 |         53 |        107 |        977 |
| routes/(app)/vto-test/body-image-upload                                                                      |          2 |        125 |          8 |         16 |        149 |
| routes/(app)/vto-test/clothing-image-upload                                                                  |          2 |        193 |         33 |         22 |        248 |
| routes/(app)/vto-test/generation                                                                             |          3 |        499 |         12 |         69 |        580 |
| routes/(app)/wardrobe                                                                                        |          2 |        271 |          2 |         26 |        299 |
| routes/(vto)                                                                                                 |         17 |        760 |         72 |        114 |        946 |
| routes/(vto) (Files)                                                                                         |          4 |         59 |          8 |         11 |         78 |
| routes/(vto)/auth                                                                                            |         11 |        481 |         41 |         59 |        581 |
| routes/(vto)/auth/confirm                                                                                    |          1 |         24 |          6 |          6 |         36 |
| routes/(vto)/auth/error                                                                                      |          1 |          1 |          0 |          0 |          1 |
| routes/(vto)/auth/login                                                                                      |          2 |         95 |          5 |         10 |        110 |
| routes/(vto)/auth/logout                                                                                     |          1 |          5 |          0 |          2 |          7 |
| routes/(vto)/auth/password_reset                                                                             |          2 |        145 |          5 |         16 |        166 |
| routes/(vto)/auth/reset                                                                                      |          2 |         57 |          5 |         10 |         72 |
| routes/(vto)/auth/signup                                                                                     |          2 |        154 |         20 |         15 |        189 |
| routes/(vto)/beta                                                                                            |          2 |        220 |         23 |         44 |        287 |
| routes/(vto)/beta/melt                                                                                       |          2 |        220 |         23 |         44 |        287 |
| routes/api                                                                                                   |          2 |        325 |          5 |         45 |        375 |
| routes/api/queryTask                                                                                         |          1 |        105 |          3 |         16 |        124 |
| routes/api/submitTask                                                                                        |          1 |        220 |          2 |         29 |        251 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/app.css                                                     | PostCSS    |         54 |          0 |         14 |         68 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/app.d.ts                                                    | TypeScript |         20 |          7 |          3 |         30 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/app.html                                                    | HTML       |         32 |          1 |          3 |         36 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/hooks.server.ts                                             | TypeScript |         51 |         23 |         11 |         85 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/clientUtil/realtime.ts                                  | TypeScript |         41 |         13 |          8 |         62 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/buttons/back.svelte                          | Svelte     |         21 |          0 |          4 |         25 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/buttons/button.svelte                        | Svelte     |         80 |          0 |          9 |         89 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/buttons/dialogButton.svelte                  | Svelte     |         58 |          0 |          9 |         67 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/buttons/navButton.svelte                     | Svelte     |         27 |          0 |          4 |         31 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/buttons/textButton.svelte                    | Svelte     |         10 |          0 |          2 |         12 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/card/cardheader.svelte                       | Svelte     |         11 |          0 |          2 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/dialog/dialog.svelte                         | Svelte     |        176 |          2 |         18 |        196 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/form/floatTextbox.svelte                     | Svelte     |        101 |          1 |          7 |        109 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/form/image-gen-v2.svelte                     | Svelte     |         22 |          0 |          3 |         25 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/form/image-upload-v2.svelte                  | Svelte     |         72 |          0 |          6 |         78 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/form/imageButton.svelte                      | Svelte     |         31 |          3 |          4 |         38 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/form/selectInput.svelte                      | Svelte     |        104 |          0 |         21 |        125 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/form/textbox.svelte                          | Svelte     |         99 |          1 |          7 |        107 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/imageScan/imageScan.svelte                   | Svelte     |         27 |          0 |          5 |         32 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/label.svelte                                 | Svelte     |         11 |          0 |          3 |         14 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/logo/logo.svelte                             | Svelte     |          9 |          0 |          3 |         12 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/fileupload.svelte                       | Svelte     |         49 |          0 |          5 |         54 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/multiselect.svelte                      | Svelte     |        161 |          2 |         23 |        186 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/progress.svelte                         | Svelte     |         23 |          0 |          4 |         27 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/select.svelte                           | Svelte     |         86 |          0 |         18 |        104 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/toast.svelte                            | Svelte     |         57 |          5 |          8 |         70 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/nav/navbar.svelte                            | Svelte     |         78 |          1 |          5 |         84 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/outfits/radiogroup.svelte                    | Svelte     |         38 |          1 |          7 |         46 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/profile/profilepopover.svelte                | Svelte     |         96 |          0 |          8 |        104 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/profile/section.svelte                       | Svelte     |         14 |          0 |          4 |         18 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/profile/sectionbutton.svelte                 | Svelte     |         18 |          0 |          3 |         21 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/text/or.svelte                               | Svelte     |          5 |          0 |          0 |          5 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/text/subtitle.svelte                         | Svelte     |         10 |          0 |          3 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/text/title.svelte                            | Svelte     |         14 |          0 |          3 |         17 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/visualiser/stepIndicator.svelte              | Svelte     |         19 |          0 |          2 |         21 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/wardrobe/draggable.svelte                    | Svelte     |         73 |          1 |         14 |         88 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/wardrobe/filterButton.svelte                 | Svelte     |         29 |          0 |          7 |         36 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/wardrobe/grids.svelte                        | Svelte     |         67 |          0 |          6 |         73 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/wardrobe/newIcons.svelte                     | Svelte     |         25 |          1 |          4 |         30 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/wardrobe/wardrobeItem.svelte                 | Svelte     |         19 |          0 |          4 |         23 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/content/vto-dialogs/bodyGuide.svelte                    | Svelte     |         43 |          3 |          7 |         53 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/content/vto-dialogs/clothingGuide.svelte                | Svelte     |         43 |          3 |          7 |         53 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/content/vto-qr/qrcode.svelte                            | Svelte     |         32 |          0 |          7 |         39 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/aws/rekognition.ts                               | TypeScript |         35 |          4 |          6 |         45 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/aws/rekognitionClient.ts                         | TypeScript |          6 |          0 |          3 |          9 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/database_helpers/getStorageItemURL.ts            | TypeScript |         14 |          0 |          3 |         17 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/database_helpers/queryDb.ts                      | TypeScript |        211 |         15 |         39 |        265 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/database_helpers/storage.ts                      | TypeScript |         44 |          1 |          9 |         54 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/huggingface/inference.ts                         | TypeScript |         27 |          2 |          5 |         34 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/openai/openai.ts                                 | TypeScript |         67 |          0 |          7 |         74 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/server.js                                        | JavaScript |          0 |         26 |          8 |         34 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/vto/tryonfunctions.ts                            | TypeScript |        134 |          1 |         19 |        154 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/state/appstate.svelte.ts                                | TypeScript |        147 |          0 |         14 |        161 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/state/vto.svelte.ts                                     | TypeScript |         48 |          2 |         15 |         65 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/eyeClosed.svelte                                    | Svelte     |         12 |          0 |          1 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/eyeOpened.svelte                                    | Svelte     |         12 |          0 |          1 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/hamburger.svelte                                    | Svelte     |          6 |          0 |          1 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/icons.svelte                                        | Svelte     |        215 |          1 |          8 |        224 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/indicators/success.svelte                           | Svelte     |         29 |          0 |          1 |         30 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/indicators/warning.svelte                           | Svelte     |         36 |          0 |          1 |         37 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/info.svelte                                         | Svelte     |         10 |          0 |          1 |         11 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/pin.svelte                                          | Svelte     |         17 |          0 |          2 |         19 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/BigUploadClothing.svelte                      | Svelte     |         40 |          0 |          1 |         41 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/BigUploadModel.svelte                         | Svelte     |         46 |          0 |          1 |         47 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/closeButton.svelte                            | Svelte     |         14 |          0 |          1 |         15 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/download.svelte                               | Svelte     |         14 |          0 |          1 |         15 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/editProfile.svelte                    | Svelte     |          6 |          0 |          1 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/help.svelte                           | Svelte     |          9 |          0 |          1 |         10 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/information.svelte                    | Svelte     |         10 |          0 |          1 |         11 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/instagram.svelte                      | Svelte     |         12 |          0 |          1 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/link.svelte                           | Svelte     |          8 |          0 |          1 |          9 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/lock.svelte                           | Svelte     |         12 |          0 |          1 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/logout.svelte                         | Svelte     |          9 |          0 |          1 |         10 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/noteboard.svelte                      | Svelte     |         12 |          0 |          1 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/photos.svelte                         | Svelte     |         37 |          0 |          1 |         38 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/thumbsup.svelte                       | Svelte     |         11 |          0 |          1 |         12 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/trashcan.svelte                       | Svelte     |         12 |          0 |          1 |         13 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/restart.svelte                                | Svelte     |          6 |          0 |          1 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/share.svelte                                  | Svelte     |         13 |          0 |          1 |         14 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/uploadClothing.svelte                         | Svelte     |         20 |          0 |          0 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/edit.svelte                          | Svelte     |         13 |          0 |          1 |         14 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/hangar.svelte                        | Svelte     |         26 |          0 |          3 |         29 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/outfit.svelte                        | Svelte     |         37 |          0 |          3 |         40 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/profileHead.svelte                   | Svelte     |         48 |          0 |          1 |         49 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/uploaded.svelte                      | Svelte     |         40 |          0 |          3 |         43 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/woman.svelte                         | Svelte     |         16 |          0 |          1 |         17 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/tick.svelte                                         | Svelte     |          5 |          0 |          1 |          6 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/type/supabase.ts                                        | TypeScript |      1,084 |          0 |          9 |      1,093 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/+layout.server.ts                              | TypeScript |         18 |          0 |          5 |         23 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/+layout.svelte                                 | Svelte     |        105 |          0 |          9 |        114 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/+layout.server.ts                           | TypeScript |         15 |          0 |          5 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/+layout@.svelte                             | Svelte     |         19 |          0 |          4 |         23 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/create-custom/+page.server.ts               | TypeScript |         11 |          0 |          4 |         15 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/create-custom/+page.svelte                  | Svelte     |        121 |          1 |         12 |        134 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/myphotos/+page.server.ts                    | TypeScript |         13 |          0 |          3 |         16 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/myphotos/+page@by.svelte                    | Svelte     |        119 |          0 |          6 |        125 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/profile/+page.server.ts                     | TypeScript |          6 |          1 |          2 |          9 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/profile/+page@by.svelte                     | Svelte     |         84 |         19 |          8 |        111 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/+page.server.ts                           | TypeScript |        440 |         13 |         62 |        515 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/+page.svelte                              | Svelte     |        691 |          4 |         45 |        740 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/helpers.ts                                | TypeScript |         69 |         10 |         12 |         91 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/+page.server.ts                        | TypeScript |         52 |          2 |         16 |         70 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/+page.svelte                           | Svelte     |        132 |          0 |         14 |        146 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/create-ai/+page.server.ts              | TypeScript |         16 |          0 |          3 |         19 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/create-ai/+page.svelte                 | Svelte     |         40 |          0 |          3 |         43 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/body-image-upload/+page.server.ts     | TypeScript |          5 |          0 |          2 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/body-image-upload/+page.svelte        | Svelte     |        120 |          8 |         14 |        142 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/clothing-image-upload/+page.server.ts | TypeScript |          4 |          0 |          3 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/clothing-image-upload/+page.svelte    | Svelte     |        189 |         33 |         19 |        241 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/+page.server.ts            | TypeScript |        274 |          7 |         49 |        330 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/+page.svelte               | Svelte     |        147 |          4 |          8 |        159 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/utils.ts                   | TypeScript |         78 |          1 |         12 |         91 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/wardrobe/+page.server.ts                       | TypeScript |         49 |          1 |         13 |         63 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/wardrobe/+page.svelte                          | Svelte     |        222 |          1 |         13 |        236 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/+layout.server.ts                              | TypeScript |          0 |          8 |          2 |         10 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/+layout.svelte                                 | Svelte     |         30 |          0 |          4 |         34 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/+page.server.ts                                | TypeScript |         15 |          0 |          3 |         18 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/+page.svelte                                   | Svelte     |         14 |          0 |          2 |         16 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/confirm/+server.ts                        | TypeScript |         24 |          6 |          6 |         36 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/error/+page.svelte                        | Svelte     |          1 |          0 |          0 |          1 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/login/+page.server.ts                     | TypeScript |         18 |          0 |          2 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/login/+page.svelte                        | Svelte     |         77 |          5 |          8 |         90 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/logout/+server.ts                         | TypeScript |          5 |          0 |          2 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/password_reset/+page.server.ts            | TypeScript |         17 |          0 |          3 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/password_reset/+page.svelte               | Svelte     |        128 |          5 |         13 |        146 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/reset/+page.server.ts                     | TypeScript |         16 |          0 |          4 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/reset/+page.svelte                        | Svelte     |         41 |          5 |          6 |         52 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/signup/+page.server.ts                    | TypeScript |         16 |          0 |          3 |         19 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/auth/signup/+page.svelte                       | Svelte     |        138 |         20 |         12 |        170 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/melt/+page.server.ts                      | TypeScript |        174 |         23 |         35 |        232 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/melt/+page.svelte                         | Svelte     |         46 |          0 |          9 |         55 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/+layout.server.ts                                    | TypeScript |          8 |          0 |          1 |          9 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/+layout.svelte                                       | Svelte     |         16 |          0 |          4 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/+layout.ts                                           | TypeScript |         29 |          9 |          6 |         44 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/api/queryTask/+server.ts                             | TypeScript |        105 |          3 |         16 |        124 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/api/submitTask/+server.ts                            | TypeScript |        220 |          2 |         29 |        251 |
| Total                                                                                                        |            |      8,863 |        311 |        994 |     10,168 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
