Date : 2025-04-16 16:39:56
Directory : /Users/jayden/Desktop/FYP/virtual-try-on-app/src
Total : 56 files,  1179 codes, -61 comments, 141 blanks, all 1259 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| routes/(app)/outfits                                                                                              |          3 |         72 |          0 |          8 |         80 |
| routes/(app)/outfits (Files)                                                                                      |          2 |         76 |          0 |         10 |         86 |
| routes/(app)/outfits/create-custom                                                                                |          1 |         -4 |          0 |         -2 |         -6 |
| routes/(app)/vto-test                                                                                             |          7 |        817 |         53 |        107 |        977 |
| routes/(app)/vto-test/body-image-upload                                                                           |          2 |        125 |          8 |         16 |        149 |
| routes/(app)/vto-test/clothing-image-upload                                                                       |          2 |        193 |         33 |         22 |        248 |
| routes/(app)/vto-test/generation                                                                                  |          3 |        499 |         12 |         69 |        580 |
| routes/(app)/wardrobe                                                                                             |          2 |         32 |          0 |          6 |         38 |
| routes/(vto)                                                                                                      |          9 |       -728 |        -58 |        -79 |       -865 |
| routes/(vto)/beta                                                                                                 |          9 |       -728 |        -58 |        -79 |       -865 |
| routes/(vto)/beta/melt                                                                                            |          2 |         85 |         -6 |         22 |        101 |
| routes/(vto)/beta/vto-test                                                                                        |          7 |       -813 |        -52 |       -101 |       -966 |
| routes/(vto)/beta/vto-test/body-image-upload                                                                      |          2 |       -142 |         -8 |        -16 |       -166 |
| routes/(vto)/beta/vto-test/clothing-image-upload                                                                  |          2 |       -179 |        -33 |        -21 |       -233 |
| routes/(vto)/beta/vto-test/generation                                                                             |          3 |       -492 |        -11 |        -64 |       -567 |
| routes/api                                                                                                        |          1 |         -2 |          0 |         -1 |         -3 |
| routes/api/submitTask                                                                                             |          1 |         -2 |          0 |         -1 |         -3 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/app.css                                                          | PostCSS    |          1 |          0 |          1 |          2 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/buttons/navButton.svelte                          | Svelte     |          0 |          0 |         -1 |         -1 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/dialog/dialog.svelte                              | Svelte     |          5 |          0 |          0 |          5 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/multiselect.svelte                           | Svelte     |        161 |          2 |         23 |        186 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/select.svelte                                | Svelte     |         19 |          0 |          4 |         23 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/melt/toast.svelte                                 | Svelte     |          1 |          0 |          0 |          1 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/profile/profilepopover.svelte                     | Svelte     |         96 |          0 |          8 |        104 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/profile/sectionbutton.svelte                      | Svelte     |          0 |          0 |         -1 |         -1 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/textbox.svelte                                    | Svelte     |        -96 |         -1 |         -5 |       -102 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/components/wardrobe/filterButton.svelte                      | Svelte     |         -2 |          0 |          3 |          1 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/content/vto-qr/qrcode.svelte                                 | Svelte     |          6 |          0 |          0 |          6 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/database_helpers/queryDb.ts                           | TypeScript |         38 |         -4 |          1 |         35 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/database_helpers/storage.ts                           | TypeScript |         -8 |          0 |          0 |         -8 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/database_helpers/uploadClothing.ts                    | TypeScript |          0 |        -54 |         -7 |        -61 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/server/openai/openai.ts                                      | TypeScript |        -64 |         -7 |         -8 |        -79 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/state/appstate.svelte.ts                                     | TypeScript |        147 |          0 |         14 |        161 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/Lines-hiw.svg                                            | XML        |        -72 |          0 |         -1 |        -73 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/Lines.svg                                                | XML        |       -106 |          0 |          0 |       -106 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/login_background.svg                                     | XML        |        -33 |          0 |         -1 |        -34 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/signup_background.svg                                    | XML        |        -22 |          0 |         -1 |        -23 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/download.svelte                                    | Svelte     |         14 |          0 |          1 |         15 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/profile/logout.svelte                              | Svelte     |          9 |          0 |          1 |         10 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/share.svelte                                       | Svelte     |          1 |          0 |          1 |          2 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/small/wardrobe/edit.svelte                               | Svelte     |          1 |          0 |          0 |          1 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/svg/tick.svelte                                              | Svelte     |          5 |          0 |          1 |          6 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/lib/type/supabase.ts                                             | TypeScript |        271 |          0 |          1 |        272 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/+layout.svelte                                      | Svelte     |         62 |          0 |          4 |         66 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/+layout.server.ts                                | TypeScript |         15 |          0 |          5 |         20 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/create-custom/+page.server.ts                    | TypeScript |         11 |          0 |          4 |         15 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/create-custom/+page.svelte                       | Svelte     |        121 |          1 |         12 |        134 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/by/myphotos/+page@by.svelte                         | Svelte     |         92 |          0 |          3 |         95 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/+page.server.ts                                | TypeScript |         44 |          2 |         12 |         58 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/+page.svelte                                   | Svelte     |        202 |         -5 |         14 |        211 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/home/helpers.ts                                     | TypeScript |         69 |         10 |         12 |         91 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/+page.server.ts                             | TypeScript |         -3 |          0 |          0 |         -3 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/+page.svelte                                | Svelte     |         79 |          0 |         10 |         89 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/outfits/create-custom/+page.svelte                  | Svelte     |         -4 |          0 |         -2 |         -6 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/body-image-upload/+page.server.ts          | TypeScript |          5 |          0 |          2 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/body-image-upload/+page.svelte             | Svelte     |        120 |          8 |         14 |        142 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/clothing-image-upload/+page.server.ts      | TypeScript |          4 |          0 |          3 |          7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/clothing-image-upload/+page.svelte         | Svelte     |        189 |         33 |         19 |        241 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/+page.server.ts                 | TypeScript |        274 |          7 |         49 |        330 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/+page.svelte                    | Svelte     |        147 |          4 |          8 |        159 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/vto-test/generation/utils.ts                        | TypeScript |         78 |          1 |         12 |         91 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/wardrobe/+page.server.ts                            | TypeScript |         12 |          0 |          4 |         16 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(app)/wardrobe/+page.svelte                               | Svelte     |         20 |          0 |          2 |         22 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/melt/+page.server.ts                           | TypeScript |         99 |         19 |         24 |        142 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/melt/+page.svelte                              | Svelte     |        -14 |        -25 |         -2 |        -41 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/body-image-upload/+page.server.ts     | TypeScript |        -12 |          0 |         -3 |        -15 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/body-image-upload/+page.svelte        | Svelte     |       -130 |         -8 |        -13 |       -151 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/clothing-image-upload/+page.server.ts | TypeScript |         -4 |          0 |         -3 |         -7 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/clothing-image-upload/+page.svelte    | Svelte     |       -175 |        -33 |        -18 |       -226 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/generation/+page.server.ts            | TypeScript |       -267 |         -6 |        -44 |       -317 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/generation/+page.svelte               | Svelte     |       -147 |         -4 |         -8 |       -159 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/(vto)/beta/vto-test/generation/utils.ts                   | TypeScript |        -78 |         -1 |        -12 |        -91 |
| /Users/jayden/Desktop/FYP/virtual-try-on-app/src/routes/api/submitTask/+server.ts                                 | TypeScript |         -2 |          0 |         -1 |         -3 |
| Total                                                                                                             |            |      1,179 |        -61 |        141 |      1,259 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
